id_contrato,anio,entidad,subtipo_cps,rol_objeto,senales_familia,descripcion_del_proceso,url_secop,version_clasificacion,decision_cps_manual,subtipo_manual,evidencia_url,revisor,fecha_revision
CO1.PCCNTR.3014321,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,CONSTANCIA VIGENTE DE AFILIACION A EPS Y PENSIONES; O PAGO DE APORTES AL SISTEMA GENERAL DE SEGURIDAD SOCIAL INTEGRADA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2378952&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.3021268,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACION DE SERVICIOS PARA APOYAR Y ACOMPAÑAR LOS PROCESOS DEL GRUPO DE ATENCION INTEGRAL A LAS VICTIMAS DE LA SECRETARIA; PLAN DE ATENCION TERRITORIAL Y UNIDADES PRODUCTIVAS,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2384452&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.3045396,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACION DE SERVICIOS PARA APOYAR DESDE LA PRODUCCION AUDIOVISUAL LOS DIFERENTES PROCESOS ADMINISTRATIVOS; CREATIVOS Y LOGISTICOS RELACIONADOS CON LAS ACCIONES DEL GRUPO  GOBERNANZA Y CONVIVENCIA DE LA SECRETARIA DEL INTERIOR,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2401967&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.3064255,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS PARA APOYAR LAS LABORES DE GESTIÓN DOCUMENTAL Y ARCHIVO EN LAS FUNCIONES DESARROLLADAS POR LA INSPECCIÓN URBANAS DE POLICÍA JORNADA PERMANENTE TURNO NÚMERO 3 DEL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2416935&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.3065816,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACIÓN DE SERVICIOS PARA APOYAR LAS LABORES DE GESTIÓN DOCUMENTAL Y ARCHIVO EN LAS FUNCIONES DESARROLLADAS POR LA INSPECCIÓN URBANAS DE POLICÍA JORNADA PERMANENTE TURNO NÚMERO 3 DEL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2418333&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.3069660,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,PRESTACION DE SERVICIOS COMO ADMINITRADOR PUBLICO PARA FORTALECER LAS ACTIVIDADES DESDE LA SUBSECRETARIA DE SEGURIDAD CUIDADANA EN DESARROLLO DEL PROYECTO FORTALECIMIENTO TECNICO; JURIDICO Y ADMINISTRATIVO DE LA SECRETARIA DEL INTERIOR DEL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2420757&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.3107314,2021,Alcaldía Distrital de Barrancabermeja,Ambiguo,Sin rol,,APOYAR LA GESTIÓN DE TALENTO HUMANO A TRAVÉS DEL DESARROLLO DE ESTRATEGIAS QUE PERMITAN MEJORAR LAS COMUNICACIONES INTERNAS DE LA ADMINISTRACIÓN CENTRAL EN DESARROLLO DEL PROYECTO DE FORTALECIMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE LOS PROCESOS Y LAS POLÍTICAS DE GESTIÓN Y DESEMPEÑO INSTITUC,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2450551&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2468284,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,,PRESTACION DE SERVICIOS COMO APOYO A LA GESTION PARA DESARROLLAR LAS ACTIVIDADES ADMINISTRATIVAS Y MISIONALES DE LA SECRETARIA TIC-CEI DEL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1939690&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2509648,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,obra,PRESTACION DE SERVICIOS COMO APOYO A LA GESTION PARA EL MANTENIMIENTO DE REDES Y SISTEMAS ELECTRICOS EN ACOMPAÑAMIENTO AL GRUPO DE CONSTRUCCION DE LA SECRETARIA DE INFRAESTRUCTURA DISTRITAL DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1972124&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2544867,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Apoyo a la gestión,,PRESTACIÓN DE LOS SERVICIOS COMO FORMADOR EN MÚSICA VALLENATA EN DESARROLLO DEL PROGRAMA DE ESCUELAS DE FORMACIÓN ARTÍSTICA Y CULTURAL DE LA SECRETARIA DE CULTURA; TURISMO Y PATRIMONIO EN CONTEXTO DE LAS ACTIVIDADES DEL PROYECTO APOYO AL DESARROLLO DE ACCIONES PARA IMPLEMENTAR EL PROGRAMA DE APOYO P,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1999887&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
